"","mzmax","label","481.2621848","437.2375914","393.2113274","349.183895","653.3385713","613.3389949","525.283826","609.3063687"
"1","BLANK1","Control",107560.5706,268837.396,490805.8911,721042.3419,75624.63848,26946.97667,76893.19235,96772.15147
"2","BLANK2","Control",285699.1293,306409.3726,294237.4415,363861.5997,89357.45227,81593.07429,110956.7843,87806.98409
"3","K205L_L","205_x_L",77794304.82,68034498.2,63441996.92,66846738.69,50867771.02,47069806.03,40453938.67,38288344.97
"4","K205L_R","205_x_R",81553143.71,74029625.41,65546124.65,72216520.1,51748218.87,48856455.57,58567410.61,43286859.93
"5","K205R_L_1","205_x_L",116213855.3,105658102.6,97867253.75,111046791.2,64969725.75,69093518.89,30893847.77,53647805.89
"6","K205R_L_2","205_x_L",49929413.6,40808483.85,23877296.8,48206999.87,30046161.72,18838600.69,30557211.93,40664267.26
"7","K205R_R_1","205_x_R",67053825.6,62221671.94,49319142.27,58796579.45,40199448.04,26646835.41,44818319.21,54708579.09
"8","K205R_R_2","205_x_R",31207096.47,32772148.22,35149591.28,32331521.44,256601.9596,4764323.156,9619402.536,226128.0645
"9","M1","Control",25592590.56,13325932.81,7719806.266,16552287.63,63770952.56,37346924.36,18793170.95,63721440.62
"10","M2","Control",160693253.1,150125114.1,139355928,148496557.1,62392917.04,89795292.98,30485510.92,49806117.66
"11","M3","Control",117995703.5,99480657.71,100996605.1,120201325.9,55944838.61,64721056.65,58926740.74,47118160.2
"12","M4","Control",149496842.1,141537803.6,137426907.2,147048692.7,61939469.56,84355277.32,47200627.49,50417695.57
