"","Fold Change","log2(FC)"
"853.4656982",0.19176,-2.3826
"917.4888306.2",0.20266,-2.3029
"848.5302124",4.9078,2.2951
"918.4898682.1",0.20865,-2.2608
"845.5184326",4.7575,2.2502
"962.5167103",0.24908,-2.0053
"977.5966187",3.9527,1.9828
"132.0746613",0.25632,-1.964
"961.5127563.1",0.25734,-1.9583
"459.2772217",0.30075,-1.7334
"514.2632446.1",0.30488,-1.7137
"291.067749",0.3111,-1.6846
"874.4674072.1",0.31841,-1.6511
"551.0840454",3.0405,1.6043
"830.1826172",3.0342,1.6013
"1185.675572",2.9694,1.5702
"690.9668088",0.34035,-1.5549
"1186.677979",2.8321,1.5019
"664.4565608",2.7566,1.4629
"1022.627075",2.7401,1.4542
"889.545014",2.6944,1.43
"978.600672",2.6481,1.405
"647.0018919",0.38612,-1.3729
"137.0446472",0.38623,-1.3725
"668.9858034",0.38623,-1.3725
"873.4611206",0.388,-1.3659
"801.4947123",2.5767,1.3655
"583.322889",2.5711,1.3624
"622.3519287.1",0.39068,-1.3559
"845.5184326.2",2.5395,1.3446
"1021.626404",2.537,1.3431
"632.3709238",2.5344,1.3416
"415.2495728",0.39504,-1.3399
"933.5707397",2.52,1.3334
"846.5233115",2.5057,1.3252
"1142.652513",2.4867,1.3143
"626.3445435",2.4857,1.3137
"626.84552",2.4806,1.3107
"214.0030365",0.41009,-1.286
"605.3346558",2.4073,1.2674
"1141.648202",2.3926,1.2586
"604.4365845",2.3911,1.2577
"864.9949951",0.41875,-1.2558
"853.9689331.1",0.41928,-1.254
"582.3179932",2.3804,1.2512
"845.5184326.1",2.3778,1.2496
"754.4265747",0.42367,-1.239
"594.2996826",2.3538,1.235
"891.5544434",2.3336,1.2226
"691.4586426",2.3227,1.2158
"802.3894718",0.43056,-1.2157
"604.3339844",2.3151,1.2111
"604.8335571",2.3008,1.2021
"840.5661011",2.2904,1.1956
"648.8596802",2.2835,1.1913
"123.0534821",0.4401,-1.1841
"582.8216553",2.2624,1.1778
"801.3873291",0.44872,-1.1561
"612.9653931.2",2.2242,1.1533
"644.3634033",0.45081,-1.1494
"561.3109935",2.1731,1.1198
"787.4291382.1",0.46199,-1.1141
"1005.538696.2",0.46311,-1.1106
"283.0659485",2.1528,1.1062
"561.8107289",2.139,1.097
"625.387796",2.0933,1.0658
"944.5477295",0.47907,-1.0617
"1098.625478",2.0815,1.0576
"644.8666992",0.48076,-1.0566
"1097.622314",2.0772,1.0546
"648.3599243",2.0743,1.0526
"560.8093262",2.0741,1.0525
"458.103302",0.48235,-1.0518
"1054.602661",2.0657,1.0466
"436.12146",0.48444,-1.0456
"1105.628419",0.48491,-1.0442
"162.0163116",0.48494,-1.0441
"1609.974888",0.48512,-1.0436
"901.5258179",0.48528,-1.0431
"736.5176392",2.0553,1.0394
"865.4962769",0.48853,-1.0335
"572.2871021",2.0466,1.0332
"636.3665325",0.48865,-1.0331
"246.0919189",0.49096,-1.0263
"963.5192892",0.49141,-1.025
"1053.597778",2.0222,1.0159
"323.166626",2.0213,1.0153
"244.0937195",0.49552,-1.013
"1383.734073",2.0142,1.0102
