"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
"14R",-1.5446,24.168,9.925,13.256,9.8008,6.7936,8.7395,-7.258,-3.4182,13.108,0.64569,-0.65885,2.3201e-14
"17L",8.0227,20.584,7.5294,7.4411,-13.449,-3.4,-12.408,-6.2605,13.293,1.6876,-3.3723,1.0432,8.8111e-15
"19R",1.758,32.419,-7.2169,6.6826,-3.2351,-3.7356,-1.3318,6.5555,-2.9822,-6.0789,13.177,-3.886,-8.1801e-15
"20L",-2.0741,27.592,2.9299,4.3545,2.7513,5.5983,3.0631,9.9755,-4.1296,-8.7566,-11.695,2.92,-7.8982e-15
"30R",-40.607,-20.791,-0.95653,11.556,9.8085,-4.9628,3.726,-11.789,3.2773,-10.538,0.35603,-0.64831,2.4026e-16
"23R",11.332,-3.2271,39.336,-17.135,-0.52592,-12.209,4.211,-0.7418,-3.0692,-1.4339,1.3428,0.60141,2.0817e-16
"25L",-31.877,-11.1,-1.287,-6.2111,-9.7915,12.064,0.25474,0.5299,-1.9288,1.4121,5.0208,12.393,1.5383e-14
"26R",-29.814,-11.201,1.0131,-11.04,-9.3127,12.529,2.53,2.0621,1.3222,1.5294,-2.0317,-12.472,1.7328e-14
"28L",-34.148,-15.098,-8.9412,4.2098,3.5234,-16.258,-8.2179,10.957,-2.6863,8.9308,-2.5384,0.043247,-1.8822e-16
"41L",9.1626,17.719,-22.856,-25.523,14.271,-0.28601,-3.3318,-4.6312,4.3052,0.70859,-0.23717,1.0701,-4.6768e-15
"42R",40.244,-30.478,10.245,6.8592,11.653,11.956,-12.465,5.335,1.2448,-1.1723,2.4791,-0.70599,-7.9186e-15
"43L",36.159,-19.205,-13.592,3.83,-4.7691,-4.606,18.73,5.8554,8.5844,1.3241,0.04511,1.3061,-2.61e-14
"44L",33.386,-11.382,-16.129,1.7204,-10.724,-3.4827,-3.5,-10.59,-13.812,-0.72076,-3.1919,-1.0058,-1.2462e-14
